"DATE","MERCHANT NAME","BRANCH NAME","PPN","TOTAL TRANASCTION"
"01 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","5022664.700195312","136"
"02 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","3899960.798828125","117"
"03 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","3101368.5","90"
"04 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","3580243","119"
"05 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","4354641.701171875","127"
"06 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1951472.5","79"
"08 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1908673.900390625","83"
"09 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1841479.799804688","71"
"10 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","2432630.900390625","98"
"11 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","5334787","142"
"12 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","4486843.6015625","132"
"13 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1217945","55"
"14 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1579109.599609375","65"
"15 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1294364.200195312","62"
"16 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1980418.900390625","76"
"17 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","2008637","84"
"18 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","5192803","160"
"19 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","5432542.69921875","136"
"20 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1563639.700195312","68"
"21 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1682057.400878906","74"
"22 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","2010017.898925781","74"
"23 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","2504897","92"
"24 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","2898655.30078125","80"
"26 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","4923286.400390625","106"
"27 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1892576.69921875","73"
"28 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1861719.700195312","61"
"29 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1975543.099609375","74"
"30 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","1328920.799804688","54"
"31 January 2020","NAMA SUSHI","NAMA SUSHI BAYWALK","2070977.5","73"
