"Tanggal","Wajib Pajak","Outlet","PPN","Total Transaksi"
"01 January 2021","Angus House","Angus House","3017465","17"
"02 January 2021","Angus House","Angus House","3498550","19"
"03 January 2021","Angus House","Angus House","4157670","18"
"04 January 2021","Angus House","Angus House","2232120","11"
"05 January 2021","Angus House","Angus House","1190200","6"
"06 January 2021","Angus House","Angus House","1263075","6"
"07 January 2021","Angus House","Angus House","1414820","8"
"08 January 2021","Angus House","Angus House","2336565","15"
"09 January 2021","Angus House","Angus House","2569270","14"
"10 January 2021","Angus House","Angus House","4381850","19"
"11 January 2021","Angus House","Angus House","1590204","10"
"12 January 2021","Angus House","Angus House","1201783","7"
"13 January 2021","Angus House","Angus House","555830","4"
"14 January 2021","Angus House","Angus House","900900","5"
"15 January 2021","Angus House","Angus House","1132560","6"
"16 January 2021","Angus House","Angus House","3025660","12"
"17 January 2021","Angus House","Angus House","3487803","15"
"18 January 2021","Angus House","Angus House","1213520","9"
"19 January 2021","Angus House","Angus House","1219515","6"
"20 January 2021","Angus House","Angus House","1955690","6"
"21 January 2021","Angus House","Angus House","1270500","6"
"22 January 2021","Angus House","Angus House","1737450","7"
"23 January 2021","Angus House","Angus House","2693515","19"
"24 January 2021","Angus House","Angus House","4140070","13"
"25 January 2021","Angus House","Angus House","1225675","9"
"26 January 2021","Angus House","Angus House","421520","3"
"27 January 2021","Angus House","Angus House","1172930","3"
"28 January 2021","Angus House","Angus House","1414171","9"
"29 January 2021","Angus House","Angus House","1174580","7"
"30 January 2021","Angus House","Angus House","2899765","19"
"31 January 2021","Angus House","Angus House","5798540","26"
