"BILL NO","BRANCH ID","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"KS20190400087/034","1","2019-04-07 00:00:00","143000","10010","15301","168311","CASH"
"KS20190400088/034","1","2019-04-07 00:00:00","201500","0","20150","221650","KARTU KREDIT VISA"
"KS20190400089/034","1","2019-04-07 00:00:00","222000","15540","23754","261294","KARTU KREDIT VISA"
"KS20190400090/034","1","2019-04-07 00:00:00","290000","20300","31030","341330","OVO"
"KS20190400091/034","1","2019-04-07 00:00:00","219000","15330","23433","257763","KARTU KREDIT MASTER"
"KS20190400092/034","1","2019-04-07 00:00:00","104000","7280","11128","122408","BCA CARD"
"KS20190400093/034","1","2019-04-07 00:00:00","160000","11200","17120","188320","OVO"
"KS20190400094/034","1","2019-04-07 00:00:00","130000","9100","13910","153010","CASH"
"KS20190400095/034","1","2019-04-07 00:00:00","344000","24080","36808","404888","KARTU KREDIT MASTER"
"KS20190400096/034","1","2019-04-07 00:00:00","162000","11340","17334","190674","OVO"
"KS20190400097/034","1","2019-04-07 00:00:00","82000","5740","8774","96514","CASH"
"KS20190400098/034","1","2019-04-07 00:00:00","336000","23520","35952","395472","CASH"
"KS20190400099/034","1","2019-04-07 00:00:00","260000","18200","27820","306020","KARTU KREDIT MASTER"
"KS20190400100/034","1","2019-04-07 00:00:00","212000","14840","22684","249524","CASH"
"KS20190400101/034","1","2019-04-07 00:00:00","335000","23450","35845","394295","CASH"
"KS20190400102/034","1","2019-04-07 00:00:00","278000","19460","29746","327206","CASH"
"KS20190400103/034","1","2019-04-07 00:00:00","69000","4830","7383","81213","KARTU KREDIT VISA"
"KS20190400104/034","1","2019-04-07 00:00:00","522000","36540","55854","614394","BCA CARD"
"KS20190400105/034","1","2019-04-07 00:00:00","418000","24871","38017.1","480888.1","PERMATA BANK VISA CARD"
"KS20190400106/034","1","2019-04-07 00:00:00","311000","21770","33277","366047","KARTU KREDIT VISA"
"KS20190400107/034","1","2019-04-07 00:00:00","218000","15260","23326","256586","KARTU KREDIT VISA"
"KS20190400108/034","1","2019-04-07 00:00:00","221000","15470","23647","260117","BCA CARD"
