"MERCHANT ID","BRANCH ID","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"1","1","052070100736","1051705050056","KS20190400087/034","2019-04-07 00:00:00","143000","10010","15301","168311","CASH"
"1","1","052070100736","1051705050056","KS20190400088/034","2019-04-07 00:00:00","201500","0","20150","221650","KARTU KREDIT VISA"
"1","1","052070100736","1051705050056","KS20190400089/034","2019-04-07 00:00:00","222000","15540","23754","261294","KARTU KREDIT VISA"
"1","1","052070100736","1051705050056","KS20190400090/034","2019-04-07 00:00:00","290000","20300","31030","341330","OVO"
"1","1","052070100736","1051705050056","KS20190400091/034","2019-04-07 00:00:00","219000","15330","23433","257763","KARTU KREDIT MASTER"
"1","1","052070100736","1051705050056","KS20190400092/034","2019-04-07 00:00:00","104000","7280","11128","122408","BCA CARD"
"1","1","052070100736","1051705050056","KS20190400093/034","2019-04-07 00:00:00","160000","11200","17120","188320","OVO"
"1","1","052070100736","1051705050056","KS20190400094/034","2019-04-07 00:00:00","130000","9100","13910","153010","CASH"
"1","1","052070100736","1051705050056","KS20190400095/034","2019-04-07 00:00:00","344000","24080","36808","404888","KARTU KREDIT MASTER"
"1","1","052070100736","1051705050056","KS20190400096/034","2019-04-07 00:00:00","162000","11340","17334","190674","OVO"
"1","1","052070100736","1051705050056","KS20190400097/034","2019-04-07 00:00:00","82000","5740","8774","96514","CASH"
"1","1","052070100736","1051705050056","KS20190400098/034","2019-04-07 00:00:00","336000","23520","35952","395472","CASH"
"1","1","052070100736","1051705050056","KS20190400099/034","2019-04-07 00:00:00","260000","18200","27820","306020","KARTU KREDIT MASTER"
"1","1","052070100736","1051705050056","KS20190400100/034","2019-04-07 00:00:00","212000","14840","22684","249524","CASH"
"1","1","052070100736","1051705050056","KS20190400101/034","2019-04-07 00:00:00","335000","23450","35845","394295","CASH"
"1","1","052070100736","1051705050056","KS20190400102/034","2019-04-07 00:00:00","278000","19460","29746","327206","CASH"
"1","1","052070100736","1051705050056","KS20190400103/034","2019-04-07 00:00:00","69000","4830","7383","81213","KARTU KREDIT VISA"
"1","1","052070100736","1051705050056","KS20190400104/034","2019-04-07 00:00:00","522000","36540","55854","614394","BCA CARD"
"1","1","052070100736","1051705050056","KS20190400105/034","2019-04-07 00:00:00","418000","24871","38017.1","480888.1","PERMATA BANK VISA CARD"
"1","1","052070100736","1051705050056","KS20190400106/034","2019-04-07 00:00:00","311000","21770","33277","366047","KARTU KREDIT VISA"
"1","1","052070100736","1051705050056","KS20190400107/034","2019-04-07 00:00:00","218000","15260","23326","256586","KARTU KREDIT VISA"
"1","1","052070100736","1051705050056","KS20190400108/034","2019-04-07 00:00:00","221000","15470","23647","260117","BCA CARD"
