"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002565","2019-04-12 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002566","2019-04-12 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002567","2019-04-12 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002568","2019-04-12 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002554","2019-04-12 00:00:00","714000","0","0","832524","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002555","2019-04-12 00:00:00","588000","0","0","685608","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002556","2019-04-12 00:00:00","714000","0","0","832524","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002557","2019-04-12 00:00:00","840000","0","0","979440","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002558","2019-04-12 00:00:00","864000","0","0","1007424","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002559","2019-04-12 00:00:00","432000","0","0","503712","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002560","2019-04-12 00:00:00","490000","0","0","571340","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002561","2019-04-12 00:00:00","168000","0","0","195888","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002562","2019-04-12 00:00:00","840000","0","0","979440","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002563","2019-04-12 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002564","2019-04-12 00:00:00","98000","0","0","114268","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002597","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002598","2019-04-13 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002599","2019-04-13 00:00:00","696000","0","0","811536","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002600","2019-04-13 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002569","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002601","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002570","2019-04-13 00:00:00","434000","0","0","506044","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002602","2019-04-13 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002571","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002603","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002572","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002573","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002574","2019-04-13 00:00:00","602000","0","0","701932","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002604","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002575","2019-04-13 00:00:00","700000","0","0","816200","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002605","2019-04-13 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002576","2019-04-13 00:00:00","504000","0","0","587664","Unknown"
