"","","","","","","","","","",""
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32089","01 January 2020","Extra Soup Cakyo","","6000","1","6000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32092","01 January 2020","Sop Daging Iga Original","","56800","1","56800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32092","01 January 2020","Buntut Bakar","","68800","1","68800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32092","01 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32092","01 January 2020","Orange Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32092","01 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32092","01 January 2020","Es Campur","","33800","1","33800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32090","01 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32091","01 January 2020","Sop Daging Iga + Paru Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32091","01 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32093","01 January 2020","Sop Lidah Cak Yo","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32093","01 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32093","01 January 2020","Nasi G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32093","01 January 2020","Nasi G.B - Seafood","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32093","01 January 2020","Tempe Goreng","","24800","1","24800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32093","01 January 2020","Lime Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32093","01 January 2020","Teh O Manis Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32093","01 January 2020","Teh O Manis Dingin","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32097","01 January 2020","Sop Daging Iga + Paru Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32097","01 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32097","01 January 2020","Kopi Gayo Tarik Dingin","","28800","1","28800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32097","01 January 2020","Sop Daging Iga + Lidah Original","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32097","01 January 2020","Mie G.B - Buntut","","62800","1","62800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32094","01 January 2020","Bakso Buntut Halus","","38800","1","38800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32094","01 January 2020","Bakso Buntut Urat","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32094","01 January 2020","Bakso Buntut Komplit","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32094","01 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32094","01 January 2020","Teh O Manis Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32095","01 January 2020","Bakso Buntut Komplit","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32095","01 January 2020","Mineral Water","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32095","01 January 2020","Taro Ice Jelly","","33800","1","33800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32096","01 January 2020","Sop Buntut Special Cak Yo","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32098","01 January 2020","Sop Daging Iga + Lidah Original","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32098","01 January 2020","Garang Asem Iga","","59800","1","59800"
