"Wajib Pajak","Outlet","NPWP","NOPD","No Bill","Tanggal","Total Amount","Service Charge","PPN","Total Trx Amount","Jenis Pembayaran"
"GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","16.3.05.05.1.0001","101.16.05.05.0038","A22000000049","03 January 2022","16000","","1600","17600","CASH"
"GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","16.3.05.05.1.0001","101.16.05.05.0038","A22000000050","03 January 2022","204000","10200","20400","234600","BCA DEBIT"
"GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","16.3.05.05.1.0001","101.16.05.05.0038","A22000000051","03 January 2022","47000","2350","4700","54100","CASH"
"GADO GADO BOPLO","GADO GADO BOPLO SALEMBA","16.3.05.05.1.0001","101.16.05.05.0038","A22000000052","03 January 2022","18000","900","1800","20700","CASH"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000001","01 January 2022","197600","","18960","216560","GO BIZZ"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000002","01 January 2022","332000","","32400","364400","GO BIZZ"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000003","01 January 2022","82800","","8280","91080","JUNO"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000004","01 January 2022","108800","","10680","119480","JUNO"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000005","01 January 2022","58800","","5880","64680","JUNO"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000006","01 January 2022","448000","26880","47488","522368","GO PAY"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000007","01 January 2022","98800","","9480","108280","GO BIZZ"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000008","01 January 2022","428000","25680","45368","499048","BCA CARD"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000009","01 January 2022","590000","35400","62540","687940","MASTER CARD"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000010","01 January 2022","307000","18420","32542","357962","CASH"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000011","01 January 2022","86800","","8280","95080","GO BIZZ"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000012","01 January 2022","98800","","9480","108280","GO BIZZ"
"BARI-UMA RAMEN","BARI-UMA RAMEN SETIABUDI ONE","15.3.01.04.1.0003","106.15.05.05.0149","A22000000013","01 January 2022","105000","6300","11130","122430","DEBIT"
